A*,Greedy Best First,Genetic,CSP

REPRESENT THE MEAN OF EACH COLUMN IN A BAR CHART

5.15160314,6.23847929,12.31139857,6.99729363
5.71084917,5.92884202,13.92229822,7.37200004
6.27372067,7.29323056,15.71144406,9.68804584
7.18463398,8.08955081,19.09729773,6.75467846
9.42745008,10.01912491,14.36598891,7.79413907
8.43858949,8.74130902,20.95422812,11.38606069
9.54288346,8.25308839,20.66796373,7.94515351
14.93773838,7.3187909,16.00097953,10.88082231
7.2718628,7.76850368,14.12491193,5.27663106
8.88751616,7.12278347,15.03701368,9.39780041
10.85519552,10.10357704,13.4869735,8.34175728
5.47638352,6.37635667,13.03061755,6.27936804
6.46639181,6.24849806,10.76433698,5.46425478
8.59639178,5.47685229,17.41539066,10.01492822
6.71793185,9.08934549,20.57757745,8.76464419
12.80179306,8.12115309,12.44980255,7.43486432
9.35742149,9.23460708,21.11946103,9.33783929
9.69980212,9.73345364,20.35127591,8.4902996
11.09944469,8.83747818,17.30460282,7.55421016
8.97165765,8.10169738,20.72303742,7.27881385
